,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
126,2172035,2016-10-06 10:30,4.31,0.0,6.19
127,2172035,2016-10-06 10:35,,0.0,
128,2172035,2016-10-06 10:40,,0.0,
129,2172035,2016-10-06 10:45,4.31,0.0,6.19
130,2172035,2016-10-06 10:50,,0.0,
131,2172035,2016-10-06 10:55,,0.0,
132,2172035,2016-10-06 11:00,4.31,0.0,6.19
133,2172035,2016-10-06 11:05,,0.0,
134,2172035,2016-10-06 11:10,,0.0,
135,2172035,2016-10-06 11:15,4.31,0.0,6.19
136,2172035,2016-10-06 11:20,,0.0,
137,2172035,2016-10-06 11:25,,0.0,
138,2172035,2016-10-06 11:30,4.31,0.0,6.19
139,2172035,2016-10-06 11:35,,0.0,
140,2172035,2016-10-06 11:40,,0.0,
141,2172035,2016-10-06 11:45,4.3,0.0,6.04
142,2172035,2016-10-06 11:50,,0.0,
143,2172035,2016-10-06 11:55,,0.0,
144,2172035,2016-10-06 12:00,4.3,0.0,6.04
145,2172035,2016-10-06 12:05,,0.0,
146,2172035,2016-10-06 12:10,,0.0,
147,2172035,2016-10-06 12:15,4.3,0.0,6.04
148,2172035,2016-10-06 12:20,,0.0,
149,2172035,2016-10-06 12:25,,0.0,
150,2172035,2016-10-06 12:30,4.3,0.0,6.04
151,2172035,2016-10-06 12:35,,0.0,
152,2172035,2016-10-06 12:40,,0.0,
153,2172035,2016-10-06 12:45,4.3,0.0,6.04
154,2172035,2016-10-06 12:50,,0.0,
155,2172035,2016-10-06 12:55,,0.0,
156,2172035,2016-10-06 13:00,4.3,0.0,6.04
157,2172035,2016-10-06 13:05,,0.0,
158,2172035,2016-10-06 13:10,,0.0,
159,2172035,2016-10-06 13:15,4.3,0.0,6.04
160,2172035,2016-10-06 13:20,,0.0,
161,2172035,2016-10-06 13:25,,0.0,
162,2172035,2016-10-06 13:30,4.3,0.0,6.04
163,2172035,2016-10-06 13:35,,0.0,
164,2172035,2016-10-06 13:40,,0.0,
165,2172035,2016-10-06 13:45,4.3,0.0,6.04
166,2172035,2016-10-06 13:50,,0.0,
167,2172035,2016-10-06 13:55,,0.0,
168,2172035,2016-10-06 14:00,4.3,0.0,6.04
169,2172035,2016-10-06 14:05,,0.0,
170,2172035,2016-10-06 14:10,,0.0,
171,2172035,2016-10-06 14:15,4.29,0.0,5.89
172,2172035,2016-10-06 14:20,,0.0,
173,2172035,2016-10-06 14:25,,0.0,
174,2172035,2016-10-06 14:30,4.29,0.0,5.89
175,2172035,2016-10-06 14:35,,0.0,
176,2172035,2016-10-06 14:40,,0.0,
177,2172035,2016-10-06 14:45,4.29,0.0,5.89
178,2172035,2016-10-06 14:50,,0.0,
179,2172035,2016-10-06 14:55,,0.0,
180,2172035,2016-10-06 15:00,4.29,0.0,5.89
181,2172035,2016-10-06 15:05,,0.0,
182,2172035,2016-10-06 15:10,,0.0,
