,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
551,2172035,2016-10-07 22:35,,0.05,
552,2172035,2016-10-07 22:40,,0.01,
553,2172035,2016-10-07 22:45,5.21,0.01,36.1
554,2172035,2016-10-07 22:50,,0.02,
555,2172035,2016-10-07 22:55,,0.04,
556,2172035,2016-10-07 23:00,5.31,0.06,42.1
557,2172035,2016-10-07 23:00,,,62.8
558,2172035,2016-10-07 23:05,,0.05,
559,2172035,2016-10-07 23:10,,0.01,
560,2172035,2016-10-07 23:15,5.39,0.02,47.4
561,2172035,2016-10-07 23:20,,0.02,
562,2172035,2016-10-07 23:25,,0.01,
563,2172035,2016-10-07 23:30,5.46,0.03,52.4
564,2172035,2016-10-07 23:30,,,85.8
565,2172035,2016-10-07 23:35,,0.02,
566,2172035,2016-10-07 23:40,,0.01,
567,2172035,2016-10-07 23:45,5.53,0.04,57.8
568,2172035,2016-10-07 23:50,,0.03,
569,2172035,2016-10-07 23:55,,0.04,
