,station number,datetime,Gage height (ft)
132,2172040,2016-10-07 09:00,16.67
133,2172040,2016-10-07 09:15,16.63
134,2172040,2016-10-07 09:30,16.6
135,2172040,2016-10-07 09:45,16.59
136,2172040,2016-10-07 10:00,16.6
137,2172040,2016-10-07 10:15,16.62
138,2172040,2016-10-07 10:30,16.65
139,2172040,2016-10-07 10:45,16.68
140,2172040,2016-10-07 11:00,16.75
141,2172040,2016-10-07 11:15,16.82
142,2172040,2016-10-07 11:30,16.9
143,2172040,2016-10-07 11:45,16.98
144,2172040,2016-10-07 12:00,17.05
145,2172040,2016-10-07 12:15,17.12
146,2172040,2016-10-07 12:30,17.19
147,2172040,2016-10-07 12:45,17.26
148,2172040,2016-10-07 13:00,17.33
149,2172040,2016-10-07 13:15,17.41
150,2172040,2016-10-07 13:30,17.46
151,2172040,2016-10-07 13:45,17.52
152,2172040,2016-10-07 14:00,17.6
153,2172040,2016-10-07 14:15,17.68
154,2172040,2016-10-07 14:30,17.76
155,2172040,2016-10-07 14:45,17.83
156,2172040,2016-10-07 15:00,17.9
157,2172040,2016-10-07 15:15,17.97
158,2172040,2016-10-07 15:30,18.04
159,2172040,2016-10-07 15:45,18.11
160,2172040,2016-10-07 16:00,18.16
161,2172040,2016-10-07 16:15,18.22
162,2172040,2016-10-07 16:30,18.27
163,2172040,2016-10-07 16:45,18.31
164,2172040,2016-10-07 17:00,18.33
165,2172040,2016-10-07 17:15,18.37
166,2172040,2016-10-07 17:30,18.36
167,2172040,2016-10-07 17:45,18.35
168,2172040,2016-10-07 18:00,18.32
169,2172040,2016-10-07 18:15,18.29
170,2172040,2016-10-07 18:30,18.25
171,2172040,2016-10-07 18:45,18.2
172,2172040,2016-10-07 19:00,18.13
173,2172040,2016-10-07 19:15,18.1
174,2172040,2016-10-07 19:30,18.05
175,2172040,2016-10-07 19:45,18.0
176,2172040,2016-10-07 20:00,17.95
177,2172040,2016-10-07 20:15,17.91
178,2172040,2016-10-07 20:30,17.85
179,2172040,2016-10-07 20:45,17.82
180,2172040,2016-10-07 21:00,17.78
181,2172040,2016-10-07 21:15,17.76
182,2172040,2016-10-07 21:30,17.73
183,2172040,2016-10-07 21:45,17.74
184,2172040,2016-10-07 22:00,17.76
185,2172040,2016-10-07 22:15,17.76
186,2172040,2016-10-07 22:30,17.79
187,2172040,2016-10-07 22:45,17.84
188,2172040,2016-10-07 23:00,17.85
189,2172040,2016-10-07 23:15,17.9
190,2172040,2016-10-07 23:30,17.91
191,2172040,2016-10-07 23:45,17.95
